	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	tag_display	i	keyword
0	1	学历不限	5-10年	面议	2020年04月14日	阿里云智能事业群-混合云高可用架构师-杭州/北京	杭州	阿里巴巴	https://www.liepin.com/job/1927444797.shtml	https://www.liepin.com/company/1072424/	2018互联网300强	8	全栈设计
1	2	统招本科	5-10年	面议	2020年04月02日	华为云物联网(IoT)云服务高级产品经理	深圳	华为	https://www.liepin.com/job/1927186835.shtml	https://www.liepin.com/company/954482/	2018互联网300强	8	全栈设计
2	3	本科及以上	1-3年	面议	2020年03月16日	高级UI设计师（国际方向）(J20103)	上海-华漕	携程	https://www.liepin.com/job/1926702033.shtml	https://www.liepin.com/company/182339/	2018互联网300强	8	全栈设计
3	4	统招本科	经验不限	面议	2020年02月18日	Web开发工程师-“华为精英研发项目”	深圳-龙岗区	华为	https://www.liepin.com/job/1926105967.shtml	https://www.liepin.com/company/954482/	2018互联网300强	8	全栈设计
4	5	统招本科	经验不限	面议	2020年02月18日	软件开发工程师-“华为精英研发项目”	深圳-龙岗区	华为	https://www.liepin.com/job/1926105729.shtml	https://www.liepin.com/company/954482/	2018互联网300强	8	全栈设计
5	6	统招本科	5-10年	面议	2020年01月15日	异构计算编译开发专家	杭州	阿里巴巴	https://www.liepin.com/job/1925786793.shtml	https://www.liepin.com/company/1072424/	2018互联网300强	8	全栈设计
6	7	学历不限	5-10年	面议	2019年12月09日	服务器研发事业部-机器学习加速平台业务架构师	杭州	阿里巴巴	https://www.liepin.com/job/1922523417.shtml	https://www.liepin.com/company/1072424/	2018互联网300强	8	全栈设计
7	8	本科及以上	3-5年	面议	2019年10月15日	21309-在线教育Web前端开发高级工程师（深圳）	深圳	腾讯	https://www.liepin.com/job/1915783094.shtml	https://www.liepin.com/company/7983148/	2018互联网300强	8	全栈设计
