	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	面议	2020年04月03日	视觉设计师		京东商城	https://www.liepin.com/job/1916717463.shtml	https://www.liepin.com/company/9747025/	23	2018互联网300强	视觉设计	3
1	2	本科及以上	3-5年	18-28k·14薪	2020年04月02日	有品电商-资深视觉设计师/主管		小米	https://www.liepin.com/job/1927187249.shtml	https://www.liepin.com/company/2174886/	23	2018互联网300强	视觉设计	3
2	3	本科及以上	3-5年	9-14k·12薪	2020年04月02日	视觉设计师(偏平面方向)！！	上海	洋码头	https://www.liepin.com/job/1927163587.shtml	https://www.liepin.com/company/7971183/	23	2018互联网300强	视觉设计	3
3	4	本科及以上	3-5年	15-30k·12薪	2020年04月02日	视觉设计师（视觉创意方向）-redmi	北京	小米	https://www.liepin.com/job/1926985993.shtml	https://www.liepin.com/company/2174886/	23	2018互联网300强	视觉设计	3
4	5	大专及以上	1-3年	面议	2020年04月02日	平面设计师	广州	欢聚集团	https://www.liepin.com/job/1927186289.shtml	https://www.liepin.com/company/930104/	23	2018互联网300强	视觉设计	3
5	6	本科及以上	1-3年	10-20k·12薪	2020年04月01日	平面视觉设计师--RD08	广州-海珠区	英雄互娱	https://www.liepin.com/job/1927156023.shtml	https://www.liepin.com/company/8307104/	23	2018互联网300强	视觉设计	3
6	7	学历不限	5-10年	面议	2020年04月01日	盒马-视觉设计专家-上海	杭州	阿里巴巴	https://www.liepin.com/job/1927154829.shtml	https://www.liepin.com/company/1072424/	23	2018互联网300强	视觉设计	3
7	8	本科及以上	1-3年	10-20k·12薪	2020年04月01日	平面视觉设计师-RD08	广州-海珠区	英雄互娱	https://www.liepin.com/job/1927153543.shtml	https://www.liepin.com/company/8307104/	23	2018互联网300强	视觉设计	3
8	9	本科及以上	3-5年	15-30k·12薪	2020年04月02日	平面设计师（插画方向）-redmi	北京	小米	https://www.liepin.com/job/1926986139.shtml	https://www.liepin.com/company/2174886/	23	2018互联网300强	视觉设计	3
9	10	本科及以上	3-5年	18-25k·12薪	2020年03月31日	技术中台用户体验部_高级视觉设计师	北京	Baidu	https://www.liepin.com/job/1927109295.shtml	https://www.liepin.com/company/884492/	23	2018互联网300强	视觉设计	3
10	11	本科及以上	经验不限	3-6k·12薪	2020年03月31日	滴滴视觉设计实习生	北京	滴滴	https://www.liepin.com/job/1927102709.shtml	https://www.liepin.com/company/8076624/	23	2018互联网300强	视觉设计	3
11	12	大专及以上	1-3年	6-8k·15薪	2020年03月31日	视觉设计师（外包）(J11066)	武汉-洪山区	斗鱼网络	https://www.liepin.com/job/1925462585.shtml	https://www.liepin.com/company/8805953/	23	2018互联网300强	视觉设计	3
12	13	本科及以上	3-5年	11-20k·12薪	2020年03月31日	资深视觉设计师03-13-151	杭州	大搜车	https://www.liepin.com/job/1922672927.shtml	https://www.liepin.com/company/8141158/	23	2018互联网300强	视觉设计	3
13	14	本科及以上	5-10年	8-14k·12薪	2020年03月31日	资深平面设计师	上海	洋码头	https://www.liepin.com/job/1927018945.shtml	https://www.liepin.com/company/7971183/	23	2018互联网300强	视觉设计	3
14	15	本科及以上	3-5年	15-30k·12薪	2020年04月02日	平面设计师（版式、创意方向）-redmi	北京	小米	https://www.liepin.com/job/1926986373.shtml	https://www.liepin.com/company/2174886/	23	2018互联网300强	视觉设计	3
15	16	大专及以上	3-5年	15-25k·14薪	2020年03月30日	7Fresh视觉设计岗		京东商城	https://www.liepin.com/job/1927071693.shtml	https://www.liepin.com/company/9747025/	23	2018互联网300强	视觉设计	3
